iter	Logloss
0	0.531416802
1	0.4266551473
2	0.3559324856
3	0.3015565743
4	0.2654473604
5	0.2408040618
6	0.2217731652
7	0.2087154031
8	0.1995804766
9	0.1922495737
10	0.1868687214
11	0.182531491
12	0.1780330149
13	0.1752884808
14	0.1710380007
15	0.1687539089
16	0.1669709333
17	0.1647558874
18	0.1629825114
19	0.1615428947
20	0.1601483441
21	0.1588042259
22	0.1575494372
23	0.1564555056
24	0.1555450844
25	0.1544318128
26	0.153666773
27	0.1529768939
28	0.1522745143
29	0.1517143728
30	0.1511377182
31	0.1507512345
32	0.1499481002
33	0.1493763493
34	0.1489328883
35	0.1486691654
36	0.1482591554
37	0.1478790865
38	0.1475155615
39	0.1471952047
40	0.1469220738
41	0.1464624159
42	0.1461877089
43	0.1458740957
44	0.1456592544
45	0.1455338439
46	0.1451694368
47	0.1449335221
48	0.1447436367
49	0.144585142
50	0.1443080834
51	0.1441447211
52	0.143969921
53	0.1437715911
54	0.1435219521
55	0.1433473292
56	0.1431866456
57	0.1430654212
58	0.1428962008
59	0.1427933441
60	0.1426544533
61	0.142533444
62	0.1424024067
63	0.1422890322
64	0.1421493588
65	0.1420779686
66	0.1419906345
67	0.1418752591
68	0.1417817778
69	0.1416879621
70	0.1415937216
71	0.1414988522
72	0.1414056564
73	0.1412100413
74	0.1411320158
75	0.1410340827
76	0.1409670828
77	0.1408916601
78	0.1407904373
79	0.1407083449
80	0.140644557
81	0.1405946162
82	0.1404941905
83	0.1404233299
84	0.1403495935
85	0.1402702847
86	0.140210137
87	0.1401327188
88	0.1400679548
89	0.1399923621
90	0.1399152422
91	0.1398735236
92	0.1398003349
93	0.1397442017
94	0.139679989
95	0.1396194545
96	0.1395689009
97	0.1394818073
98	0.1393883747
99	0.139325984
