iter	Passed	Remaining
0	17	1764
1	32	1599
2	47	1546
3	63	1519
4	83	1578
5	97	1533
6	114	1524
7	132	1522
8	149	1509
9	170	1532
10	235	1904
11	267	1961
12	295	1974
13	336	2064
14	416	2362
15	500	2629
16	541	2644
17	572	2606
18	588	2510
19	605	2422
20	626	2358
21	642	2277
22	657	2200
23	672	2128
24	699	2098
25	713	2031
26	726	1964
27	739	1900
28	750	1837
29	763	1780
30	775	1725
31	787	1672
32	798	1620
33	810	1573
34	822	1528
35	834	1482
36	846	1440
37	856	1398
38	868	1358
39	879	1319
40	890	1282
41	902	1246
42	913	1211
43	925	1178
44	939	1147
45	950	1115
46	961	1084
47	972	1054
48	987	1027
49	1002	1002
50	1068	1026
51	1081	998
52	1093	970
53	1113	948
54	1133	927
55	1148	902
56	1164	878
57	1184	858
58	1205	837
59	1221	814
60	1237	791
61	1258	771
62	1280	752
63	1296	729
64	1310	705
65	1323	681
66	1335	657
67	1346	633
68	1357	609
69	1369	587
70	1381	564
71	1392	541
72	1406	520
73	1419	498
74	1430	476
75	1441	455
76	1453	434
77	1465	413
78	1477	392
79	1488	372
80	1503	352
81	1517	333
82	1530	313
83	1542	293
84	1552	274
85	1565	254
86	1577	235
87	1589	216
88	1601	197
89	1614	179
90	1627	160
91	1641	142
92	1662	125
93	1674	106
94	1688	88
95	1701	70
96	1714	53
97	1726	35
98	1738	17
99	1752	0
